"sno","LargeLS","Ruggedness","SmallLS","DisFromVill","WildPrey","D.0","lcl.0","ucl.0"
174,-0.093716461,-0.191796391,-0.232904202,-1.250203529,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
191,-0.196790175,0.586816164,-0.232904202,1.729015339,-0.949336105,2.19848206027912e-05,6.85009396137151e-06,7.05584973961641e-05
192,-0.196790175,0.315948222,-0.232904202,1.44583094,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
193,-0.196790175,-0.727158912,-0.232904202,1.180170961,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
194,-0.196790175,2.46855169,-0.232904202,0.937893843,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
195,-0.196790175,0.226721135,-0.232904202,0.690126434,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
196,-0.196790175,-0.143996166,-0.232904202,0.450015601,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
197,-0.196790175,-0.132311667,-0.232904202,0.250672364,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
198,-0.196790175,-0.692636527,-0.232904202,0.0139684,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
199,-0.196790175,0.644176434,-0.232904202,-0.224752696,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
200,-0.196790175,-0.039366785,-0.232904202,-0.530545775,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
201,-0.196790175,0.823692835,-0.232904202,-0.812727527,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
202,-0.140071775,1.146609911,-0.12971624,-1.161018863,0.271415828,4.597256273814e-05,2.53035224842541e-05,8.35249924601365e-05
203,-0.196790175,-1.368744155,-0.232904202,-1.364392811,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
204,0.298186514,-1.251368047,0.99490722,-1.240225595,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
205,0.297629359,-0.605002781,0.993445043,-0.913610134,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
206,-0.108313928,-0.380341723,0.082612837,-0.701803062,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
207,-0.196790175,0.467315601,-0.232904202,-1.014135245,0.009826128,3.92506415396916e-05,1.96179714644875e-05,7.85306913136345e-05
