FID,Field1,x,y,WPreyD,Rgd,Alt
437,2263,8698000,3739110,0.2500000,32.2955017,5232.0000000
438,2264,8698500,3739110,0.2500000,73.9324036,5048.0000000
439,2265,8699000,3739110,0.2500000,58.0000000,4771.0000000
440,2266,8699500,3739110,0.2500000,36.7831001,4689.0000000
441,2267,8700000,3739110,0.2500000,135.3739929,4795.0000000
442,2268,8700500,3739110,0.2500000,34.8138008,4771.0000000
443,2269,8701000,3739110,0.2500000,44.8665009,5004.0000000
444,2270,8701500,3739110,0.2500000,28.8271008,5040.0000000
445,2271,8702000,3739110,0.2500000,30.7409000,4895.0000000
446,2272,8702500,3739110,0.2500000,65.8482971,4996.0000000
447,2273,8703000,3739110,0.2500000,101.6269989,5486.0000000
448,2274,8703500,3739110,0.2500000,27.2763996,5419.0000000
449,2275,8704000,3739110,0.2500000,65.5972977,5429.0000000
450,2276,8704500,3739110,0.2500000,46.4220009,5373.0000000
451,2277,8705000,3739110,0.2500000,50.8526993,5425.0000000
452,2278,8705500,3739110,0.2500000,20.9284000,5444.0000000
453,2279,8706000,3739110,0.2500000,45.6399002,5369.0000000
454,2280,8706500,3739110,0.2500000,23.8118000,5321.0000000
455,2281,8707000,3739110,0.2500000,31.0000000,5184.0000000
456,2282,8707500,3739110,0.2496490,76.0328979,4960.0000000
457,2283,8708000,3739110,0.2492200,27.4955006,4774.0000000
458,2284,8708500,3739110,0.2487050,81.0122986,4801.0000000
459,2285,8709000,3739110,0.2480950,39.5853996,4967.0000000
460,2286,8709500,3739110,0.2473130,37.8286018,4845.0000000
461,2287,8710000,3739110,0.2464120,12.6094999,4837.0000000
462,2288,8710500,3739110,0.2455910,74.8397980,4712.0000000
463,2289,8711000,3739110,0.2447150,31.4006004,4563.0000000
464,2290,8711500,3739110,0.2437820,93.4559021,4405.0000000
465,2291,8712000,3739110,0.2427830,54.4058990,4246.0000000
466,2292,8712500,3739110,0.2418920,8.1853504,4078.0000000
467,2293,8713000,3739110,0.2409350,35.0285988,4232.0000000
468,2294,8713500,3739110,0.2399510,36.7831001,4404.0000000
469,2295,8714000,3739110,0.2390260,51.4490013,4718.0000000
470,2296,8714500,3739110,0.2380430,45.0000000,4760.0000000
471,2297,8715000,3739110,0.2371260,34.8568001,4716.0000000
482,2450,8686000,3739610,0.2500000,123.3000031,5247.0000000
483,2451,8686500,3739610,0.2500000,68.5783997,4834.0000000
484,2452,8687000,3739610,0.2500000,52.8678017,4636.0000000
485,2453,8687500,3739610,0.2500000,38.2883987,4772.0000000
486,2454,8688000,3739610,0.2500000,71.8191986,4754.0000000
487,2455,8688500,3739610,0.2500000,44.2606010,4830.0000000
488,2456,8689000,3739610,0.2500000,44.3283005,4752.0000000
489,2457,8689500,3739610,0.2500000,67.6904984,4623.0000000
490,2458,8690000,3739610,0.2500000,63.5452995,4265.0000000
491,2459,8690500,3739610,0.2500000,59.2368011,3915.0000000
492,2460,8691000,3739610,0.2500000,23.6431999,3671.0000000
493,2461,8691500,3739610,0.2500000,11.6189003,3739.0000000
494,2462,8692000,3739610,0.2500000,26.3439007,3824.0000000
495,2463,8692500,3739610,0.2500000,49.6085014,3971.0000000
496,2464,8693000,3739610,0.2500000,85.2994995,4182.0000000
497,2465,8693500,3739610,0.2500000,104.9189987,4352.0000000
498,2466,8694000,3739610,0.2500000,80.6287994,4547.0000000
499,2467,8694500,3739610,0.2500000,73.6138992,4846.0000000
500,2468,8695000,3739610,0.2500000,53.1694984,4974.0000000
501,2469,8695500,3739610,0.2500000,59.7159996,5333.0000000
502,2470,8696000,3739610,0.2500000,84.6580963,5314.0000000
503,2471,8696500,3739610,0.2500000,72.0207977,5363.0000000
505,2473,8697500,3739610,0.2500000,36.6469994,5466.0000000
506,2474,8698000,3739610,0.2500000,30.6756992,5267.0000000
507,2475,8698500,3739610,0.2500000,41.6413002,5069.0000000
508,2476,8699000,3739610,0.2500000,35.7910995,5001.0000000
509,2477,8699500,3739610,0.2500000,50.0899010,4805.0000000
510,2478,8700000,3739610,0.2500000,32.4654007,4566.0000000
511,2479,8700500,3739610,0.2500000,49.1731987,4581.0000000
512,2480,8701000,3739610,0.2500000,31.9060993,4742.0000000
513,2481,8701500,3739610,0.2500000,33.5261002,4850.0000000
514,2482,8702000,3739610,0.2500000,44.6318016,4776.0000000
515,2483,8702500,3739610,0.2500000,77.9294968,4895.0000000
516,2484,8703000,3739610,0.2500000,55.7314987,5424.0000000
520,2488,8705000,3739610,0.2500000,50.5667992,5409.0000000
521,2489,8705500,3739610,0.2500000,57.4108009,5253.0000000
