,sno,x,y,villdist,rugged,WP.numbers,WPDensity,LargeLS,SmallLS,LargeLSDensity,SmallLSDensity,Z.LargeLSDensity,Z.rugged,Z.SmallLSDensity,Z.villdist,Z.WPDensity
133,334,8678250,3763360,12663.2,41.83,169,0.29,0,0,0,0,-0.196790175,0.223534453,-0.232904202,0.049941758,0.271415828
134,335,8681250,3763360,10235.35,36.27,169,0.29,0,0,0,0,-0.196790175,-0.071764715,-0.232904202,-0.237458019,0.271415828
135,336,8684250,3763360,7764.43,58.97,169,0.29,0,0,0,0,-0.196790175,1.133863184,-0.232904202,-0.529956261,0.271415828
136,337,8687250,3763360,5249.6,56.81,169,0.29,0,0,0,0,-0.196790175,1.019142644,-0.232904202,-0.827652404,0.271415828
137,338,8690250,3763360,3581.93,39.71,169,0.29,90,0,16.47,0,-0.013263249,0.110938367,-0.232904202,-1.025064924,0.271415828
138,339,8693250,3763360,1155.65,45.4,169,0.29,106,236,7.13,15.86,-0.117339842,0.413142013,-0.067260368,-1.312278851,0.271415828
139,340,8696250,3763360,1860.7,29.61,940,0.58,106,236,42.87,95.45,0.280914703,-0.42548638,0.7639876,-1.228817676,1.535766044
140,341,8699250,3763360,2238.34,14.75,940,0.58,219,200,74.58,68.11,0.634262538,-1.214721208,0.478445202,-1.184114069,1.535766044
141,342,8702250,3763360,723.44,28.86,940,0.58,0,0,0,0,-0.196790175,-0.465319901,-0.232904202,-1.36344225,1.535766044
142,343,8705250,3763360,2501.56,50.69,940,0.58,0,0,0,0,-0.196790175,0.694101113,-0.232904202,-1.152955073,1.535766044
143,344,8708250,3763360,3675.76,42.05,940,0.58,0,0,0,0,-0.196790175,0.235218953,-0.232904202,-1.013957681,1.535766044
144,345,8711250,3763360,3578.62,25.63,940,0.58,387,354,18.89,17.28,0.013703064,-0.636869598,-0.052429709,-1.02545675,1.535766044
145,346,8714250,3763360,1126.14,45.97,117,0.23,387,354,13,11.89,-0.05192982,0.443415488,-0.108723547,-1.315772134,0.009826128
146,347,8717250,3763360,2780.26,33.07,117,0.23,387,354,13,11.89,-0.05192982,-0.241721071,-0.108723547,-1.119963612,0.009826128
147,348,8720250,3763360,5673.76,29.08,117,0.23,387,354,16,14.64,-0.018500508,-0.453635402,-0.080002201,-0.777441935,0.009826128
148,367,8672250,3766360,15345.05,41.78,15,0.01,0,0,0,0,-0.196790175,0.220878885,-0.232904202,0.367409103,-0.949336105
149,368,8675250,3766360,13021.28,75.05,15,0.01,0,0,0,0,-0.196790175,1.987893872,-0.232904202,0.092329925,-0.949336105
150,369,8678250,3766360,10768.83,42.25,169,0.29,0,0,0,0,-0.196790175,0.245841225,-0.232904202,-0.174306657,0.271415828
