"","FID","Field1","WPreyD","Rgd","Alt","StdAlt","StdRgd","StdWPreyD","D.0"
"16153",19734,28621,0.58,62.0321999,5200,0.831623837201105,0.994289246922544,1.64313126737149,0.00010682209935999
"16154",19735,28622,0.58,66.8281021,5404,1.23245019678198,1.21970761967759,1.64313126737149,0.00010682209935999
"16155",19738,28625,0.58,35.5667992,5411,1.24620404245388,-0.249645118566429,1.64313126737149,0.00010682209935999
"16156",19739,28626,0.58,33.1058998,5316,1.05954470833533,-0.365313019021501,1.64313126737149,0.00010682209935999
"16157",19740,28627,0.58,64.6141968,5254,0.937724932384279,1.11564900685605,1.64313126737149,0.00010682209935999
"16158",19741,28628,0.58,64.2573013,5220,0.870920539120799,1.09887410205219,1.64313126737149,0.00010682209935999
"16159",19742,28629,0.58,29.0172005,5259,0.947549107864203,-0.557491237937367,1.64313126737149,0.00010682209935999
"16160",19743,28630,0.58,57.6627998,5147,0.727487577113917,0.788917448378003,1.64313126737149,0.00010682209935999
"16161",19744,28631,0.58,80.8454971,5126,0.686226040098238,1.87855724575309,1.64313126737149,0.00010682209935999
"16162",19745,28632,0.58,59.4978981,5008,0.454375498772044,0.875171265778939,1.64313126737149,0.00010682209935999
"16163",19746,28633,0.58,11.8322001,4987,0.413113961756365,-1.36522556287059,1.64313126737149,0.00010682209935999
"16164",19747,28634,0.58,15.0997,5015,0.468129344443937,-1.21164559403068,1.64313126737149,0.00010682209935999
"16165",19748,28635,0.58,3.7416601,5013,0.464199674251967,-1.7454994478363,1.64313126737149,0.00010682209935999
"16166",19749,28636,0.58,16.3400993,5016,0.470094179539921,-1.15334398984607,1.64313126737149,0.00010682209935999
"16167",19750,28637,0.58,8.7749596,5050,0.536898572803401,-1.50892285899786,1.64313126737149,0.00010682209935999
"16168",19751,28638,0.58,27.5317993,5062,0.560476593955217,-0.62730849179888,1.64313126737149,0.00010682209935999
"16169",19752,28639,0.58,27.5499992,5105,0.644964503082559,-0.626453054871433,1.64313126737149,0.00010682209935999
"16170",19753,28640,0.58,10.9087,5145,0.723557906921947,-1.40863217983228,1.64313126737149,0.00010682209935999
"16171",19754,28641,0.58,16.1555004,5234,0.898428230464585,-1.16202056036712,1.64313126737149,0.00010682209935999
"16172",19755,28642,0.58,13.0383997,5295,1.01828317131965,-1.30853142280873,1.64313126737149,0.00010682209935999
"16173",19756,28643,0.58,32.155899,5362,1.14992712275063,-0.409965229496517,1.64313126737149,0.00010682209935999
"16174",19757,28644,0.58,40.3112984,5368,1.16171613332653,-0.0266428043821238,1.64313126737149,0.00010682209935999
"16175",19758,28645,0.58,23.2593994,5287,1.00256449055177,-0.828121059081176,1.64313126737149,0.00010682209935999
"16176",19759,28646,0.58,21.6102009,5320,1.06740404871927,-0.905637160685595,1.64313126737149,0.00010682209935999
"16177",19760,28647,0.58,44.7214012,5390,1.2049425054382,0.180642114159055,1.64313126737149,0.00010682209935999
"16178",19774,28700,0.01,67.1118011,5201,0.83358867229709,1.23304212156385,-1.00158632232148,2.3919644967123e-05
"16179",19780,28706,0.01,10.3922997,5497,1.41517986070856,-1.43290417506108,-1.00158632232148,2.3919644967123e-05
"16180",19781,28707,0.01,20.6882,5461,1.34444579725311,-0.948973311818261,-1.00158632232148,2.3919644967123e-05
"16181",19787,28713,0.01,56.665699,5401,1.22655569149403,0.742051430174222,-1.00158632232148,2.3919644967123e-05
"16182",19788,28714,0.01,43.8064003,5258,0.945584272768218,0.137634979037033,-1.00158632232148,2.3919644967123e-05
"16183",19789,28715,0.01,79.9124985,5229,0.888604054984662,1.8347041775661,-1.00158632232148,2.3919644967123e-05
"16184",19790,28716,0.01,38.7685013,5210,0.851272188160952,-0.0991577968215442,-1.00158632232148,2.3919644967123e-05
"16185",19791,28717,0.01,33.8526001,5092,0.619421646834758,-0.330216397042492,-1.00158632232148,2.3919644967123e-05
"16186",19792,28718,0.01,37.0135002,4950,0.340415063204932,-0.181646862621366,-1.00158632232148,2.3919644967123e-05
"16187",19793,28719,0.01,60.2910004,4741,-0.0702354718558699,0.912448887890224,-1.00158632232148,2.3919644967123e-05
"16188",19794,28720,0.01,29.0688992,4526,-0.492675017492579,-0.555061280790295,-1.00158632232148,2.3919644967123e-05
"16189",19795,28721,0.01,28.7054005,4584,-0.378714581925467,-0.572146551097219,-1.00158632232148,2.3919644967123e-05
"16190",19796,28722,0.01,9.4868298,4668,-0.213668433862753,-1.47546333138347,-1.00158632232148,2.3919644967123e-05
"16191",19797,28723,0.01,10.5830002,4668,-0.213668433862753,-1.42394081538424,-1.00158632232148,2.3919644967123e-05
"16192",19798,28724,0.01,7,4651,-0.247070630494493,-1.59235001994746,-1.00158632232148,2.3919644967123e-05
"16193",19799,28725,0.01,24.8596001,4596,-0.355136560773651,-0.752907966146236,-1.00158632232148,2.3919644967123e-05
"16194",19800,28726,0.01,42.6731987,4494,-0.55554974056409,0.0843719119387486,-1.00158632232148,2.3919644967123e-05
"16195",19801,28727,0.01,19.3649006,4443,-0.655756330459309,-1.01117141031487,-1.00158632232148,2.3919644967123e-05
"16196",19802,28728,0.01,47.2969017,4219,-1.09587939195988,0.301696528433766,-1.00158632232148,2.3919644967123e-05
"16197",19803,28729,0.01,4,4084,-1.36113212991781,-1.73335688165225,-1.00158632232148,2.3919644967123e-05
"16198",19804,28730,0.01,5.6568499,4106,-1.31790575780615,-1.65548114674729,-1.00158632232148,2.3919644967123e-05
"16199",19805,28731,0.01,13.8923998,4124,-1.28253872607843,-1.26839146480987,-1.00158632232148,2.3919644967123e-05
"16200",19806,28732,0.01,7.9372501,4283,-0.970129945816861,-1.54829712153629,-1.00158632232148,2.3919644967123e-05
"16201",19807,28733,0.01,8.4261503,4322,-0.893501377073457,-1.52531769390667,-1.00158632232148,2.3919644967123e-05
"16202",19808,28734,0.01,19.0788002,4297,-0.942622254473075,-1.0246187834937,-1.00158632232148,2.3919644967123e-05
