#Poly ID,X,Y,Usage,/,Camera,Lure,LureType,Habitat,Terrain,Site
176,461324,4082022,30,/,Reconyx,yes,fish_skunk,Scrub,VALLEY,Misger
177,459793,4083046,30,/,Reconyx,yes,fish_skunk,Scrub,VALLEY,Misger
178,458146,4084209,31,/,Reconyx,yes,fish_skunk,Pasture,SADDLE,Misger
179,456874,4084910,31,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
180,455641,4086019,31,/,Reconyx,yes,fish_skunk,Pasture,DRAW,Misger
181,456475,4085782,31,/,Reconyx,yes,fish_skunk,Forest,Cliff_base,Misger
182,452704,4087881,30,/,Reconyx,yes,fish_skunk,BARREN,Cliff_base,Misger
183,453034,4086601,31,/,Reconyx,yes,fish_skunk,BARREN,DRAW,Misger
184,450790,4087967,30,/,Reconyx,yes,fish_skunk,Pasture,SADDLE,Misger
185,449562,4088781,30,/,Reconyx,yes,fish_skunk,BARREN,SADDLE,Misger
186,449517,4089785,30,/,Reconyx,yes,fish_skunk,BARREN,DRAW,Misger
187,447892,4088646,31,/,Reconyx,yes,fish_skunk,Scrub,DRAW,Misger
188,447544,4087641,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
189,447099,4087427,30,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,Misger
190,445681,4088428,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
191,445389,4089230,30,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,Misger
192,479408,4005396,51,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
193,477043,4003508,51,/,Reconyx,yes,fish_castor,Barren,Cliff_base,Hop_Hisp
194,477502,4004585,51,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
195,478092,4006208,51,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
196,487071,4001860,51,/,Reconyx,yes,fish_castor,Barren,Draw,Hop_Hisp
197,488593,4000919,51,/,Reconyx,yes,fish_castor,Barren,Ridge,Hop_Hisp
198,489498,4000441,51,/,Reconyx,yes,fish_castor,Forest,Valley,Hop_Hisp
199,490384,3999596,51,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
200,485190,4006051,51,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
201,486784,4005101,51,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
202,484955,4003455,50,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
203,481343,4006889,50,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
204,510249,4001631,63,/,Reconyx,yes,fish_castor,Barren,Ridge,Hop_Hisp
205,508500,4002204,63,/,Reconyx,yes,fish_castor,Barren,Ridge,Hop_Hisp
206,507436,4002111,63,/,Reconyx,yes,fish_castor,Barren,Ridge,Hop_Hisp
207,507492,4002949,60,/,Reconyx,yes,fish_castor,Forest,Ridge,Hop_Hisp
208,506450,4002841,60,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
209,505395,4002440,60,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
210,505036,4002836,60,/,Reconyx,yes,fish_castor,Barren,Cliff_base,Hop_Hisp
211,504697,4000196,60,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
212,502842,4000933,60,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
213,501405,3999669,60,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
214,496910,4003872,61,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
215,498770,4002581,61,/,Reconyx,yes,fish_castor,Barren,Cliff_base,Hop_Hisp
216,494840,4004589,60,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
217,493863,4005631,61,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
218,497431,4005944,63,/,Reconyx,yes,fish_castor,Barren,Ridge,Hop_Hisp
219,511098,4002332,62,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
220,511233,4003774,62,/,Reconyx,yes,fish_castor,Pasture,Draw,Hop_Hisp
221,510958,4005755,62,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
222,512485,4003505,62,/,Reconyx,yes,fish_castor,Pasture,Draw,Hop_Hisp
223,512348,4001696,62,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
224,518476,3999586,62,/,Reconyx,yes,fish_castor,Barren,Draw,Hop_Hisp
225,518338,3998524,62,/,Reconyx,yes,fish_castor,Barren,Cliff_base,Hop_Hisp
226,517207,3998051,62,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
227,516115,3998361,62,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
228,519030,3998583,62,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,Hop_Hisp
229,519514,3997230,62,/,Reconyx,yes,fish_castor,Pasture,Ridge,Hop_Hisp
289,343711,4075594,14,/,Reconyx,yes,fish_skunk,Pasture,SADDLE,BNP_QNP
290,342626,4075121,14,/,Reconyx,no,none,Pasture,DRAW,BNP_QNP
291,345580,4073276,14,/,Reconyx,yes,fish_castor,Pasture,RIDGE,BNP_QNP
292,346704,4073304,14,/,Reconyx,yes,fish_skunk,BARREN,DRAW,BNP_QNP
293,349892,4074715,14,/,Reconyx,no,none,Pasture,Cliff_base,BNP_QNP
294,350204,4074444,14,/,Reconyx,yes,fish_castor,Pasture,DRAW,BNP_QNP
295,347421,4076867,14,/,Reconyx,no,none,Pasture,SADDLE,BNP_QNP
296,347184,4077664,14,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,BNP_QNP
297,349634,4078225,14,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU,BNP_QNP
298,350124,4078934,14,/,Reconyx,yes,fish_castor,Scrub,PLATEAU,BNP_QNP
299,355519,4079885,14,/,Reconyx,no,none,Pasture,DRAW,BNP_QNP
300,354588,4079625,14,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,BNP_QNP
301,354029,4077330,14,/,Reconyx,no,none,Pasture,RIDGE,BNP_QNP
302,354666,4076547,14,/,Reconyx,yes,fish_skunk,BARREN,RIDGE,BNP_QNP
303,363391,4078333,14,/,Reconyx,yes,fish_castor,Pasture,VALLEY,BNP_QNP
304,360615,4078525,14,/,Reconyx,yes,fish_castor,BARREN,RIDGE,BNP_QNP
305,365333,4080785,15,/,Reconyx,no,none,BARREN,RIDGE,BNP_QNP
306,367870,4079312,15,/,Reconyx,no,none,Pasture,RIDGE,BNP_QNP
307,363266,4076862,14,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,BNP_QNP
308,375797,4082352,15,/,Reconyx,no,none,Pasture,DRAW,BNP_QNP
309,372320,4079732,15,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,BNP_QNP
310,376134,4081125,15,/,Reconyx,yes,fish_castor,Pasture,RIDGE,BNP_QNP
311,377207,4081551,15,/,Reconyx,yes,fish_castor,Pasture,RIDGE,BNP_QNP
312,366181,4075762,14,/,Reconyx,yes,fish_skunk,BARREN,DRAW,BNP_QNP
313,367335,4075329,14,/,Reconyx,no,none,BARREN,DRAW,BNP_QNP
314,370042,4073617,14,/,Reconyx,yes,fish_castor,Pasture,DRAW,BNP_QNP
315,370034,4074254,14,/,Reconyx,no,none,Pasture,DRAW,BNP_QNP
316,373976,4074090,14,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,BNP_QNP
317,375269,4073720,14,/,Reconyx,yes,fish_castor,Pasture,RIDGE,BNP_QNP
318,370892,4077601,14,/,Reconyx,yes,fish_skunk,Pasture,PLATEAU,BNP_QNP
319,380684,4082527,15,/,Reconyx,no,none,Pasture,VALLEY,BNP_QNP
320,382364,4082932,15,/,Reconyx,yes,fish_castor,Pasture,SADDLE,BNP_QNP
321,382956,4083105,15,/,Reconyx,yes,fish_skunk,Pasture,DRAW,BNP_QNP
322,380076,4080646,15,/,Reconyx,yes,fish_skunk,Pasture,DRAW,BNP_QNP
323,381259,4080808,15,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,BNP_QNP
324,388156,4082681,14,/,Reconyx,no,none,Pasture,Cliff_base,BNP_QNP
325,386381,4083145,14,/,Reconyx,no,none,Pasture,DRAW,BNP_QNP
326,388163,4081192,14,/,Reconyx,yes,fish_skunk,Pasture,DRAW,BNP_QNP
327,386143,4081998,14,/,Reconyx,yes,fish_skunk,Pasture,DRAW,BNP_QNP
328,389318,4081023,14,/,Reconyx,yes,fish_castor,Pasture,SADDLE,BNP_QNP
329,390829,4080836,14,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,BNP_QNP
330,394232,4080574,14,/,Reconyx,no,none,Pasture,DRAW,BNP_QNP
331,394946,4081509,14,/,Reconyx,yes,fish_castor,Pasture,DRAW,BNP_QNP
332,399287,4079284,14,/,Reconyx,yes,fish_castor,Pasture,RIDGE_CLIFF_BASE,BNP_QNP
333,399900,4078391,14,/,Reconyx,no,none,Pasture,RIDGE,BNP_QNP
334,403940,4076498,14,/,Reconyx,yes,fish_skunk,Scrub,Cliff_base_draw,BNP_QNP
335,406108,4075108,14,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,BNP_QNP
336,410986,4072734,13,/,Reconyx,yes,fish_castor,Forest,RIDGE,BNP_QNP
337,410126,4073274,14,/,Reconyx,no,none,Forest,Cliff_base,BNP_QNP
338,407787,4070969,14,/,Reconyx,yes,fish_castor,Pasture,DRAW,BNP_QNP
339,408616,4071251,14,/,Reconyx,no,none,Pasture,DRAW,BNP_QNP
340,410804,4070400,14,/,Reconyx,no,none,Forest,DRAW,BNP_QNP
341,410406,4069420,14,/,Reconyx,yes,fish_castor,Forest,DRAW,BNP_QNP
342,411061,4065613,16,/,Reconyx,yes,fish_skunk,Forest,RIDGE,BNP_QNP
343,410700,4066723,16,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,BNP_QNP
344,408893,4061013,16,/,Reconyx,no,none,Forest,Cliff_base_draw,BNP_QNP
345,409879,4061286,16,/,Reconyx,yes,fish_castor,Scrub,RIDGE,BNP_QNP
346,414651,4058695,16,/,Reconyx,yes,fish_skunk,Pasture,VALLEY,BNP_QNP
347,415556,4059132,16,/,Reconyx,no,none,Forest,RIDGE,BNP_QNP
348,413296,4060164,15,/,Reconyx,yes,fish_castor,Pasture,RIDGE,BNP_QNP
349,414902,4055598,15,/,Reconyx,no,none,Pasture,Cliff_base,BNP_QNP
350,417299,4054592,15,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,BNP_QNP
351,420932,4054667,14,/,Reconyx,yes,fish_castor,Scrub,Cliff_base,BNP_QNP
352,423508,4055771,14,/,Reconyx,no,none,Scrub,Cliff_base,BNP_QNP
353,424457,4055475,14,/,Reconyx,yes,fish_skunk,Scrub,RIDGE,BNP_QNP
354,425207,4054893,14,/,Reconyx,yes,fish_castor,Scrub,Cliff_base,BNP_QNP
355,412951,4050592,14,/,Reconyx,yes,fish_castor,Forest,DRAW,BNP_QNP
356,414115,4050639,14,/,Reconyx,yes,fish_skunk,Forest,DRAW,BNP_QNP
357,415676,4050782,14,/,Reconyx,no,none,Forest,Cliff_base,BNP_QNP
358,415648,4048864,14,/,Reconyx,yes,fish_castor,Pasture,Cliff_base,BNP_QNP
359,423597,4057232,14,/,Reconyx,yes,fish_skunk,Scrub,DRAW,BNP_QNP
360,423525,4058261,14,/,Reconyx,no,none,BARREN,DRAW,BNP_QNP
361,418290,4046843,14,/,Reconyx,no,none,Forest,DRAW,BNP_QNP
362,419225,4046444,14,/,Reconyx,no,none,Forest,DRAW,BNP_QNP
363,422133,4045269,14,/,Reconyx,yes,fish_castor,Forest,Cliff_base,BNP_QNP
364,414027,4044121,14,/,Reconyx,yes,fish_skunk,Pasture,Cliff_base,BNP_QNP
365,410181,4042738,14,/,Reconyx,yes,fish_castor,Pasture,RIDGE,BNP_QNP
366,410564,4041808,14,/,Reconyx,yes,fish_skunk,Pasture,RIDGE,BNP_QNP
367,409677,4041861,14,/,Reconyx,no,none,Pasture,Cliff_base,BNP_QNP
368,416546,4041964,14,/,Reconyx,yes,fish_skunk,Forest,Cliff_base,BNP_QNP
369,475511,3844050,36,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
370,474653,3847841,33,/,Reconyx,yes,Castor,Forest,VALLEY,MDNP
371,474565,3848310,33,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
372,476244,3849316,33,/,Reconyx,yes,Castor,Pasture,RIDGE,MDNP
373,475856,3848266,33,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
374,475995,3845908,32,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
375,475611,3847026,32,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
376,476519,3846114,32,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
378,477951,3844816,31,/,Reconyx,yes,Castor,Forest,VALLEY,MDNP
379,481032,3847496,31,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
380,481409,3848655,31,/,Reconyx,yes,Castor,Scrub,RIDGE,MDNP
381,482159,3849145,31,/,Reconyx,yes,Castor,Scrub,Cliff_base,MDNP
382,481241,3846819,31,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
383,482266,3846332,31,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
384,482887,3846857,31,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
385,473630,3844321,32,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
387,470131,3849112,32,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
388,470897,3845679,32,/,Reconyx,yes,Castor,Forest,RIDGE,MDNP
