FID,Field1,Rgd,Alt,StdRgd,StdAlt,D.0,x,y
139,2623,40.3256989,4505,-0.094777886,-0.463115631,0.00017453,326262.5272,3130250.081
140,2624,41.8942986,4406,-0.019154976,-0.596188063,0.000184958,327262.5272,3130250.081
141,2625,59.7084999,4091,0.839675825,-1.019600347,0.000194658,328262.5272,3130250.081
142,2626,69.9503021,3933,1.333437799,-1.231978572,0.000185002,329262.5272,3130250.081
143,2627,54.2238007,4489,0.575255966,-0.484622287,0.000176415,330262.5272,3130250.081
144,2628,53.0873985,4090,0.520469495,-1.020944513,0.000194627,331262.5272,3130250.081
145,2629,58.4706993,4051,0.780000892,-1.073366986,0.000193098,332262.5272,3130250.081
146,2808,60.6912994,2954,0.887057039,-2.547917066,4.32E-05,290262.5272,3131250.081
147,2817,65.2796021,2836,1.108261213,-2.706528652,3.17E-05,299262.5272,3131250.081
148,2818,63.6749992,3068,1.030902573,-2.394682145,5.66E-05,300262.5272,3131250.081
149,2819,63.1964989,2848,1.007833854,-2.69039866,3.28E-05,301262.5272,3131250.081
150,2820,63.0312996,2937,0.99986952,-2.570767888,4.14E-05,302262.5272,3131250.081
151,2821,63.5141983,2793,1.023150288,-2.764327789,2.82E-05,303262.5272,3131250.081
152,2822,68.4338989,3102,1.260331306,-2.348980501,6.10E-05,304262.5272,3131250.081
153,2823,69.2288971,3820,1.298658534,-1.383869328,0.000172884,305262.5272,3131250.081
154,2824,73.0523987,4300,1.482991297,-0.738669657,0.000192484,306262.5272,3131250.081
155,2825,63.7778015,4851,1.035858719,0.001965798,0.00012171,307262.5272,3131250.081
156,2826,43.2556,4614,0.046473988,-0.31660154,0.000159971,308262.5272,3131250.081
157,2827,37.5825005,4232,-0.227028737,-0.830072944,0.000195095,309262.5272,3131250.081
158,2828,46.9352989,3967,0.223873957,-1.186276929,0.000187847,310262.5272,3131250.081
159,2829,62.4919014,3566,0.973864886,-1.725287487,0.00013495,311262.5272,3131250.081
160,2830,64.835701,3458,1.086860538,-1.870457412,0.000116693,312262.5272,3131250.081
161,2831,61.8390999,3658,0.942393027,-1.601624216,0.000149888,313262.5272,3131250.081
162,2832,48.5153999,4117,0.300051349,-0.984652032,0.000195336,314262.5272,3131250.081
163,2833,49.8581009,4624,0.364783579,-0.30315988,0.000158505,315262.5272,3131250.081
164,2834,56.510601,4905,0.685503655,0.074550761,0.000112535,316262.5272,3131250.081
165,2835,60.1897011,5010,0.862874756,0.215688189,9.50E-05,317262.5272,3131250.081
166,2836,51.9665985,5275,0.466435214,0.571892173,5.60E-05,318262.5272,3131250.081
167,2837,52.2980995,5271,0.482417029,0.566515509,5.65E-05,319262.5272,3131250.081
168,2838,41.1876984,4743,-0.053220495,-0.143204128,0.000139836,320262.5272,3131250.081
169,2839,46.1465988,4868,0.185850364,0.024816619,0.00011882,321262.5272,3131250.081
