FID,D,x,y
562,0.000170038,320262.5272,3139250.081
563,0.000180278,321262.5272,3139250.081
564,0.000122389,322262.5272,3139250.081
565,9.71E-05,323262.5272,3139250.081
566,2.13E-05,324262.5272,3139250.081
567,4.15E-05,325262.5272,3139250.081
568,0.000170038,326262.5272,3139250.081
569,0.000193611,327262.5272,3139250.081
570,0.000188156,328262.5272,3139250.081
571,0.000176067,329262.5272,3139250.081
572,0.000190768,330262.5272,3139250.081
573,0.000195728,331262.5272,3139250.081
574,0.000191318,332262.5272,3139250.081
575,0.000194071,333262.5272,3139250.081
576,0.000146402,334262.5272,3139250.081
577,6.48E-05,335262.5272,3139250.081
578,2.92E-05,336262.5272,3139250.081
579,2.85E-05,340262.5272,3139250.081
580,7.26E-05,341262.5272,3139250.081
581,0.000141227,342262.5272,3139250.081
582,3.60E-05,274262.5272,3140250.081
583,0.000169908,275262.5272,3140250.081
584,0.000193858,276262.5272,3140250.081
585,0.00017429,277262.5272,3140250.081
586,0.000142452,278262.5272,3140250.081
587,4.60E-05,279262.5272,3140250.081
588,9.68E-05,280262.5272,3140250.081
589,0.000107968,281262.5272,3140250.081
590,0.00015153,282262.5272,3140250.081
591,0.000195693,283262.5272,3140250.081
592,0.000195627,284262.5272,3140250.081
593,0.000169189,285262.5272,3140250.081
594,0.000158429,286262.5272,3140250.081
595,0.000178058,287262.5272,3140250.081
596,0.000113296,288262.5272,3140250.081
597,6.36E-05,289262.5272,3140250.081
598,8.48E-05,290262.5272,3140250.081
599,3.62E-05,296262.5272,3140250.081
600,0.000112618,297262.5272,3140250.081
601,6.59E-05,298262.5272,3140250.081
602,0.000141717,299262.5272,3140250.081
603,0.000178058,300262.5272,3140250.081
604,0.00019195,301262.5272,3140250.081
605,0.000144235,302262.5272,3140250.081
606,0.00018781,303262.5272,3140250.081
607,0.000193482,304262.5272,3140250.081
608,0.000195627,305262.5272,3140250.081
609,0.000194379,306262.5272,3140250.081
610,0.000158209,307262.5272,3140250.081
611,3.12E-05,308262.5272,3140250.081
612,0.000102263,311262.5272,3140250.081
613,0.000183858,312262.5272,3140250.081
614,0.000185924,313262.5272,3140250.081
615,4.40E-05,314262.5272,3140250.081
616,8.40E-06,317262.5272,3140250.081
617,2.23E-05,318262.5272,3140250.081
