"","x","y"
"2063",191653.1522,3227353.206
"2064",194859.4022,3227353.206
"2065",198065.6522,3227353.206
"2066",201271.9022,3227353.206
"2067",204478.1522,3227353.206
"2068",207684.4022,3227353.206
"2069",210890.6522,3227353.206
"2070",214096.9022,3227353.206
"2071",217303.1522,3227353.206
"2072",220509.4022,3227353.206
"2073",223715.6522,3227353.206
"2113",146765.6522,3230559.456
"2114",149971.9022,3230559.456
"2115",153178.1522,3230559.456
"2116",156384.4022,3230559.456
"2117",159590.6522,3230559.456
"2118",162796.9022,3230559.456
"2119",166003.1522,3230559.456
"2120",169209.4022,3230559.456
"2122",175621.9022,3230559.456
"2123",178828.1522,3230559.456
"2124",182034.4022,3230559.456
"2125",185240.6522,3230559.456
"2126",188446.9022,3230559.456
"2127",191653.1522,3230559.456
"2128",194859.4022,3230559.456
"2129",198065.6522,3230559.456
"2130",201271.9022,3230559.456
"2131",204478.1522,3230559.456
"2132",207684.4022,3230559.456
"2133",210890.6522,3230559.456
"2134",214096.9022,3230559.456
"2135",217303.1522,3230559.456
"2136",220509.4022,3230559.456
"2137",223715.6522,3230559.456
"2177",146765.6522,3233765.706
"2178",149971.9022,3233765.706
"2179",153178.1522,3233765.706
"2180",156384.4022,3233765.706
"2181",159590.6522,3233765.706
"2182",162796.9022,3233765.706
"2183",166003.1522,3233765.706
"2186",175621.9022,3233765.706
"2187",178828.1522,3233765.706
"2189",185240.6522,3233765.706
"2190",188446.9022,3233765.706
"2191",191653.1522,3233765.706
"2192",194859.4022,3233765.706
"2193",198065.6522,3233765.706
"2194",201271.9022,3233765.706
"2195",204478.1522,3233765.706
"2196",207684.4022,3233765.706
"2197",210890.6522,3233765.706
"2198",214096.9022,3233765.706
"2199",217303.1522,3233765.706
"2200",220509.4022,3233765.706
"2201",223715.6522,3233765.706
"2241",146765.6522,3236971.956
"2242",149971.9022,3236971.956
"2243",153178.1522,3236971.956
"2244",156384.4022,3236971.956
"2245",159590.6522,3236971.956
"2251",178828.1522,3236971.956
"2252",182034.4022,3236971.956
"2253",185240.6522,3236971.956
"2254",188446.9022,3236971.956
"2255",191653.1522,3236971.956
"2256",194859.4022,3236971.956
"2257",198065.6522,3236971.956
"2258",201271.9022,3236971.956
"2259",204478.1522,3236971.956
"2260",207684.4022,3236971.956
"2261",210890.6522,3236971.956
"2262",214096.9022,3236971.956
"2263",217303.1522,3236971.956
"2264",220509.4022,3236971.956
"2265",223715.6522,3236971.956
"2266",226921.9022,3236971.956
"2305",146765.6522,3240178.206
"2306",149971.9022,3240178.206
"2307",153178.1522,3240178.206
"2308",156384.4022,3240178.206
"2309",159590.6522,3240178.206
"2319",191653.1522,3240178.206
"2320",194859.4022,3240178.206
"2321",198065.6522,3240178.206
"2322",201271.9022,3240178.206
"2323",204478.1522,3240178.206
"2324",207684.4022,3240178.206
"2325",210890.6522,3240178.206
"2326",214096.9022,3240178.206
"2327",217303.1522,3240178.206
"2369",146765.6522,3243384.456
"2370",149971.9022,3243384.456
"2371",153178.1522,3243384.456
"2372",156384.4022,3243384.456
"2383",191653.1522,3243384.456
"2384",194859.4022,3243384.456
"2385",198065.6522,3243384.456
"2386",201271.9022,3243384.456
"2387",204478.1522,3243384.456
"2388",207684.4022,3243384.456
"2389",210890.6522,3243384.456
"2390",214096.9022,3243384.456
"2391",217303.1522,3243384.456
"2433",146765.6522,3246590.706
"2434",149971.9022,3246590.706
"2435",153178.1522,3246590.706
"2449",198065.6522,3246590.706
"2450",201271.9022,3246590.706
"2451",204478.1522,3246590.706
"2452",207684.4022,3246590.706
"2498",149971.9022,3249796.956
"2499",153178.1522,3249796.956
