FID,Field1,x,y,Rgd,Alt
127,2611,314262.527200000010000,3130250.080999999800000,56.4925995,3882.0000000
128,2612,315262.527200000010000,3130250.080999999800000,54.0667000,4049.0000000
129,2613,316262.527200000010000,3130250.080999999800000,49.7762985,4205.0000000
130,2614,317262.527200000010000,3130250.080999999800000,43.9524994,4476.0000000
131,2615,318262.527200000010000,3130250.080999999800000,42.8595009,4831.0000000
132,2616,319262.527200000010000,3130250.080999999800000,49.7496986,5218.0000000
133,2617,320262.527200000010000,3130250.080999999800000,48.7570992,4797.0000000
134,2618,321262.527200000010000,3130250.080999999800000,58.7995987,5446.0000000
135,2619,322262.527200000010000,3130250.080999999800000,57.7806015,5000.0000000
136,2620,323262.527200000010000,3130250.080999999800000,61.1663017,4961.0000000
137,2621,324262.527200000010000,3130250.080999999800000,52.0974007,4670.0000000
138,2622,325262.527200000010000,3130250.080999999800000,42.5948982,4214.0000000
139,2623,326262.527200000010000,3130250.080999999800000,40.3256989,4505.0000000
140,2624,327262.527200000010000,3130250.080999999800000,41.8942986,4406.0000000
141,2625,328262.527200000010000,3130250.080999999800000,59.7084999,4091.0000000
142,2626,329262.527200000010000,3130250.080999999800000,69.9503021,3933.0000000
143,2627,330262.527200000010000,3130250.080999999800000,54.2238007,4489.0000000
144,2628,331262.527200000010000,3130250.080999999800000,53.0873985,4090.0000000
145,2629,332262.527200000010000,3130250.080999999800000,58.4706993,4051.0000000
146,2808,290262.527200000010000,3131250.080999999800000,60.6912994,2954.0000000
147,2817,299262.527200000010000,3131250.080999999800000,65.2796021,2836.0000000
148,2818,300262.527200000010000,3131250.080999999800000,63.6749992,3068.0000000
149,2819,301262.527200000010000,3131250.080999999800000,63.1964989,2848.0000000
150,2820,302262.527200000010000,3131250.080999999800000,63.0312996,2937.0000000
151,2821,303262.527200000010000,3131250.080999999800000,63.5141983,2793.0000000
152,2822,304262.527200000010000,3131250.080999999800000,68.4338989,3102.0000000
153,2823,305262.527200000010000,3131250.080999999800000,69.2288971,3820.0000000
154,2824,306262.527200000010000,3131250.080999999800000,73.0523987,4300.0000000
155,2825,307262.527200000010000,3131250.080999999800000,63.7778015,4851.0000000
156,2826,308262.527200000010000,3131250.080999999800000,43.2556000,4614.0000000
